,Line,Time,Speaker,Discussion,Clean,Topics
32,32,0:05:00,AJ,seen some of the sketches or you've seen a sketch on the briefing ,seen sketch seen sketch briefing,sketch briefing seen
33,33,0:05:00,AJ,document some of you have been closer involved in the project have seen ,document closer involved project seen,project involved closer
34,34,0:05:00,AJ,quite a lot of sketches and a form factor has already taken shape quite a lot ,quite lot sketch form factor ha already taken shape quite lot,lot factor form
35,35,0:05:00,AJ,on some of those sketches but I would suggest that we try to park that at ,sketch would suggest park,park sketch suggest
36,36,0:05:00,AJ,the back of our mind and because actually there may be completely ,back mind actually may completely,completely mind back
37,37,0:05:00,AJ,different form factors that maybe quite relevant as well errm childli  ,different form factor maybe quite relevant well errm childli,relevant form childli
38,38,0:05:00,AJ,childlike behaviour er is fine but don't draw on the table because Gerald ,childlike behaviour er fine draw table gerald,fine er gerald
39,39,0:06:00,AJ,will get angry and an  everything is possible at this stage so due to the ,get angry everything possible stage due,stage angry due
40,40,0:06:00,AJ,brainstorm then we should concentrate on divergence of ideas not on ,brainstorm concentrate divergence idea,brainstorm concentrate divergence
41,41,0:06:00,AJ,convergence so we try to generate as many ideas and as many different ,convergence generate many idea many different,idea generate convergence
42,42,0:06:00,AJ,avenues as we possibly can      what's quite important is its about ,avenue possibly quite important,avenue important possibly
43,43,0:06:00,AJ,the thermal incli  inclis      pen but its also about the media so its the ,thermal incli inclis pen also medium,pen inclis thermal
44,44,0:06:00,AJ,interaction between the special paper and the thermal pen basically ok? ,interaction special paper thermal pen basically ok,pen paper special
45,45,0:06:00,AJ,but I know quite a lot of the briefing openly focuses about the print and ,know quite lot briefing openly focus print,openly lot print
46,46,0:06:00,AJ,things like that and obviously that's a key aspect of the brainstorm but we ,thing obviously key aspect brainstorm,key aspect brainstorm
47,47,0:06:00,AJ,should also not forget that the paper is involved in all of this as well      ,also forget paper involved well,paper involved forget
48,48,0:06:00,AJ,so you'll have seen some of those pictures and I don't know Jeremy do ,seen picture know jeremy,jeremy picture know
49,49,0:06:00,AJ,you want to give a – do you want to say a couple of words about the sort ,want give want say couple word sort,sort word couple
0,51,0:06:00,Jamie,err  yeah I think the one on the top left is the one that's the real main ,err one top left one real main,real main err
1,52,0:08:00,Jamie,focus of the of  what we're doing today,focus today,focus today
2,54,0:08:00,Jamie,that's the standard plain thermal paper and then it can draw its either ,standard plain thermal paper draw either,standard paper draw
3,55,0:08:00,Jamie,atoms or line types er so for the process of making this prototype that's ,atom line type er process making prototype,process making prototype
4,56,0:08:00,Jamie,going to help us sell the project that's the concept really design a a ,going help u sell project concept really design,project sell concept
5,57,0:08:00,Jamie,prototype umm the other ideas on the paper there were other concepts for ,prototype umm idea paper concept,prototype paper concept
6,58,0:08:00,Jamie,a thermal pen which may form the ultimate product but are not what ,thermal pen may form ultimate product,thermal pen form
7,59,0:08:00,Jamie,we're going to prototype first,going prototype first,prototype first going
8,61,0:08:00,Jamie,erm so we may want to talk about those later as a sort of broader ,erm may want talk later sort broader,broader sort talk
9,63,0:08:00,Jamie,spectrum but the main focus is that style pen where you'll create a set of ,spectrum main focus style pen create set,set pen spectrum
10,64,0:08:00,Jamie,patterns by moving on plain white paper,pattern moving plain white paper,plain pattern moving
4,67,0:08:00,Tony,yeah well we should  the impetus for this is that clients come up with ,well impetus client come,client impetus come
5,68,0:08:00,Tony,this new rainbow media and we can print thermo reactive dyes onto er ,new rainbow medium print thermo reactive dye onto er,thermo print reactive
6,69,0:08:00,Tony,media substrates and then when you heat them up they cool to reach the ,medium substrate heat cool reach,reach medium cool
7,70,0:08:00,Tony,colour they're supposed to be so we've done some test prints on this ,colour supposed done test print,supposed print colour
8,71,0:08:00,Tony,erm been tested      by the HP      boss,erm tested hp bos,bos erm hp
9,73,0:08:00,Tony,       and playing with hot air      miraculously a colour image ,playing hot air miraculously colour image,miraculously hot air
10,74,0:08:00,Tony,appears out of a blank sheet of paper so providing we could provide a ,appears blank sheet paper providing could provide,provide paper providing
11,75,0:08:00,Tony,heat source then we could reveal anything which is printed on the paper ,heat source could reveal anything printed paper,printed paper reveal
12,76,0:08:00,Tony,now technically that's more demanding because energising the entire    ,technically demanding energising entire,demanding energising entire
13,77,0:08:00,Tony, printout takes time hammers the batteries and its quite a demanding ,printout take time hammer battery quite demanding,demanding printout battery
14,78,0:08:00,Tony,thing to do so technically the stuff where you've got a low percentage fill ,thing technically stuff got low percentage fill,stuff percentage technically
15,79,0:08:00,Tony,sort of faces and text and things like that is a lot more realisable but if we ,sort face text thing lot realisable,text realisable face
16,80,0:09:00,Tony,could do that with the media,could medium,medium could
17,82,0:09:00,Tony,whether we could do that with this adaptation I don't know,whether could adaptation know,adaptation could know
11,83,0:09:00,Jamie,the one on the right  the one on the right doesn't actually have to be a ,one right one right doe actually,doe actually one
12,84,0:09:00,Jamie,thermal pen      it could just be ,thermal pen could,pen thermal could
85,85,0:09:00,AJ,it could be a soldering iron,could soldering iron,iron soldering could
0,87,0:09:00,Charles,or a hot air     ,hot air,air hot
89,89,0:09:00,AJ,but basically th the focus is on that at the moment and basically th the ,basically th focus moment basically th,basically focus moment
90,90,0:09:00,AJ,idea is that there is a thermal print out in in the nib of the pen,idea thermal print nib pen,print pen idea
92,92,0:09:00,AJ,whichever shape that takes now with that concept there are a number of ,whichever shape take concept number,shape concept number
93,93,0:09:00,AJ,specific problems that need to be overcome and I think that's what we ,specific problem need overcome,specific overcome problem
94,94,0:09:00,AJ,want to focus on today in the mechanical brainstorm and then on Monday ,want focus today mechanical brainstorm monday,today mechanical brainstorm
95,95,0:09:00,AJ,there's an electronics brainstorm as well errm that will cover a range of ,electronics brainstorm well errm cover range,range electronics brainstorm
96,96,0:09:00,AJ,other topics so basically the first problem that we need to think about is ,topic basically first problem need,problem topic basically
97,97,0:09:00,AJ,the wobbly arm movement of the users this is aimed at potentially but not ,wobbly arm movement user aimed potentially,user movement aimed
98,98,0:09:00,AJ,exclusively at five to eleven years olds who have some writing skill but not ,exclusively five eleven year old writing skill,skill year writing
99,99,0:09:00,AJ,fantastic writing skill they're likely to hold the pen different ways errm ,fantastic writing skill likely hold pen different way errm,errm fantastic skill
100,100,0:09:00,AJ,different angles etcetera and so ther there's two important things one is ,different angle etcetera ther two important thing one,ther important thing
101,101,0:10:00,AJ,with respect to that in this concept one is that that the printout needs to ,respect concept one printout need,printout respect concept
102,102,0:10:00,AJ,stay in contact with the thermal print paper to actual print so there needs to ,stay contact thermal print paper actual print need,print paper stay
103,103,0:10:00,AJ,be this contact maintained and the other thing is the printout needs to stay ,contact maintained thing printout need stay,stay thing contact
104,104,0:10:00,AJ,in the right angle to print as well so we need to think of designs that ,right angle print well need design,print angle design
105,105,0:10:00,AJ,actually help to do that even though the user is not capable of keeping ,actually help even though user capable keeping,user keeping capable
106,106,0:10:00,AJ,exactly the right shape or weight so one of the things that we asked in the ,exactly right shape weight one thing asked,shape weight thing
107,107,0:10:00,AJ,erm brainstor pre brainstorm homework I don't know if any of you have ,erm brainstor pre brainstorm homework know,homework erm brainstor
108,108,0:10:00,AJ,done this is to come up with some ideas as to other products or ,done come idea product,product idea come
109,109,0:10:00,AJ,situations where a product needs to follow a contour or needs to be able to ,situation product need follow contour need able,product follow situation
110,110,0:10:00,AJ,adjust itself keeping itself in the same alignment even thought the user ,adjust keeping alignment even thought user,thought user adjust
111,111,0:10:00,AJ,might be moving things about did anybody come up with any ideas on ,might moving thing anybody come idea,moving idea thing
115,115,0:10:00,AJ,you have? excellent sorry Tom you have a question?,excellent sorry tom question,excellent question tom
0,116,0:10:00,Tom,are th these  are we limit limitin ourselves to these objects or ,th limit limitin object,limit limitin object
117,117,0:11:00,AJ,at the moment we're limiting ourselves to these two and then there's some ,moment limiting two,limiting moment two
120,120,0:11:00,AJ,there are some bigger issues as well ,bigger issue well,bigger issue well
122,122,0:11:00,AJ,yeah but we thought we'd start with these first because they're real ,thought start first real,thought real start
123,123,0:11:00,AJ,problems that we're currently thinking right how are we going to ,problem currently thinking right going,problem thinking right
126,126,0:11:00,AJ,so there's most value in in starting with that probably,value starting probably,starting probably value
0,127,0:11:00,Sarah,could I just ask a quick question?,could ask quick question,quick question ask
1,129,0:11:00,Sarah,is it is it only paper you're thinking about or could it be other things like ,paper thinking could thing,thinking paper thing
2,130,0:11:00,Sarah,mugs or fabric or pottery,mug fabric pottery,fabric mug pottery
13,131,0:11:00,Jamie,it could be anything,could anything,anything could
3,132,0:11:00,Sarah,it could be anything,could anything,anything could
134,134,0:11:00,AJ,yeah I guess it could be all those,guess could,guess could
136,136,0:11:00,AJ,potentially it could be yeah     what did you come up with Jamie,potentially could come jamie,potentially jamie come
14,137,0:11:00,Jamie,I ended up with the   hold on   sledge,ended hold sledge,ended hold sledge
138,138,0:11:00,AJ,the sledge excellent,sledge excellent,excellent sledge
15,141,0:11:00,Jamie,well the sledge manages to keep level by having quite a wide base and ,well sledge manages keep level quite wide base,sledge manages base
16,142,0:11:00,Jamie,then a main force in the middle so unlike the set of skis where quite ,main force middle unlike set ski quite,set unlike ski
17,143,0:11:00,Jamie,narrow and you go up on an edge ,narrow go edge,edge narrow go
18,147,0:12:00,Jamie,the sledge is er quite broad and then you have the weight right in the ,sledge er quite broad weight right,sledge weight broad
19,148,0:12:00,Jamie,middle so they manage to keep both runners on the snow ,middle manage keep runner snow,runner middle snow
20,150,0:12:00,Jamie,more often than say a sledge or a snowboar  a skis or snowboard,often say sledge snowboar ski snowboard,snowboar ski snowboard
151,151,0:12:00,AJ,so so would you potential see some some some guiders almost down the ,would potential see guiders almost,guiders potential almost
21,153,0:12:00,Jamie,well I guess the easiest way to keep the pen at a right angle would be to ,well guess easiest way keep pen right angle would,easiest pen angle
22,154,0:12:00,Jamie,have a set of stabilisers on it ,set stabiliser,set stabiliser
23,156,0:12:00,Jamie,based on the idea of a sledge,based idea sledge,based idea sledge
157,157,0:12:00,AJ,yeah no problem    stabilisers    like a bicycle yeah that's a good ,problem stabiliser bicycle good,bicycle good problem
158,158,0:12:00,AJ,idea any other things that that sort of generated? either for you or for ,idea thing sort generated either,sort idea thing
159,159,0:12:00,AJ,anybody else?,anybody else,anybody else
1,160,0:12:00,Charles,I was thinking that sort of maybe like a flat base with a sort of universal ,wa thinking sort maybe flat base sort universal,sort thinking universal
2,161,0:12:00,Charles,joint like a windsurf mast,joint windsurf mast,joint mast windsurf
3,163,0:12:00,Charles,if the      is like this it stays flat but the bit you hold onto can be at ,stay flat bit hold onto,hold bit flat
4,164,0:12:00,Charles,different angles,different angle,angle different
5,168,0:13:00,Charles,I guess the size of the thing in contact with the paper you could either ,guess size thing contact paper could either,paper guess size
6,169,0:13:00,Charles,have a very small contact area and er track where it goes or you can have a ,small contact area er track go,small er area
7,170,0:13:00,Charles,wide contact  area  ,wide contact area,area contact wide
24,171,0:13:00,Jamie, show the relative size of the pen if you've got an ,show relative size pen got,show relative size
173,173,0:13:00,AJ,er can do but yeah OK go on then,er ok go,er go ok
18,174,0:13:00,Tony,its' probably worth yeah I think ,probably worth,worth probably
25,175,0:13:00,Jamie,look at the end of that,look end,end look
19,176,0:13:00,Tony,size is dictated by cost really it needs to be quite narrow,size dictated cost really need quite narrow,dictated size cost
26,179,0:13:00,Jamie,could be a      that way,could way,could way
180,180,0:13:00,AJ,lets just use that as guidance but let’s  let’s not be too preoccupied with the ,let use guidance let u let u preoccupied,guidance preoccupied let
181,181,0:13:00,AJ,shape that is at the moment we'll just look at the tip of that  ,shape moment look tip,tip moment shape
183,183,0:13:00,AJ,rather than the rest I would suggest,rather rest would suggest,rest suggest rather
27,184,0:13:00,Jamie,it can be te  ten mil across,te ten mil across,ten mil te
1,185,0:13:00,Tom,and its it's a its not an edge one then it's a it's a on the flat there ,edge one flat,edge flat one
2,186,0:14:00,Tom,are two flats printing aren't there more than one,two flat printing one,flat printing one
3,190,0:14:00,Tom,if I where yeah the resistors sit on the lump there and ,resistor sit lump,lump resistor sit
4,191,0:14:00,Tom,you've got the type where the resistors sit on this corner here,got type resistor sit corner,sit resistor corner
28,192,0:14:00,Jamie,it's a corner one,corner one,corner one
5,193,0:14:00,Tom,it's a corner one,corner one,corner one
29,194,0:14:00,Jamie,oh right ish,right ish,ish right
6,199,0:14:00,Tom,it'll be about fifty percent more expensive,fifty percent expensive,expensive fifty percent
7,201,0:14:00,Tom,there's an end that goes over the paper isn't there sort of thing?,end go paper sort thing,sort paper end
20,202,0:14:00,Tony,there's a type that does this as well though,type doe well though,doe type though
21,204,0:14:00,Tony,but they type that we've got is like this but in actual fact its much more ,type got actual fact much,type actual fact
22,205,0:14:00,Tony,biased      towards the edge,biased towards edge,biased edge towards
23,207,0:14:00,Tony,so you normally have a a slight overlay here,normally slight overlay,overlay slight normally
8,208,0:14:00,Tom,right so easiest thing obviously ,right easiest thing obviously,easiest thing obviously
9,210,0:15:00,Tom,yeah the the typically what you do is you've got foil      going over and ,typically got foil going,foil typically going
10,211,0:15:00,Tom,you get quite a lot you know you can have quite a lot of angle there,get quite lot know quite lot angle,lot angle know
212,212,0:15:00,AJ,so we were talking mostly about that one or that one ,talking mostly one one,talking mostly one
214,214,0:15:00,AJ,is what you're saying Toby,saying toby,toby saying
11,216,0:15:00,Tom,that one sort of plus or minus,one sort plus minus,minus sort one
30,217,0:15:00,Jamie,all these you have to keep flat or long,keep flat long,flat long keep
12,219,0:15:00,Tom,its just its just whether we need flat or long,whether need flat long,flat long need
222,222,0:15:00,AJ,yeah I think we do well we need guidance on both axes whichever way ,well need guidance ax whichever way,whichever ax guidance
8,226,0:15:00,Charles,could you have like you have like a hot ball like a ball point pen and ,could hot ball ball point pen,ball pen hot
9,227,0:15:00,Charles,then you had a tracker like an optical mast then I think that picture where ,tracker optical mast picture,mast optical picture
10,228,0:15:00,Charles,you're moving a pen across the paper in sort of patterns repeating patterns ,moving pen across paper sort pattern repeating pattern,pattern pen repeating
11,229,0:15:00,Charles,instead of doing it all in one go like a wide printer would do it will just ,instead one go wide printer would,printer wide one
12,230,0:15:00,Charles,do a thin line at a time but when you scribble backwards and forwards it ,thin line time scribble backwards forward,thin line backwards
13,231,0:16:00,Charles,would build up and use that tracking capability to do that and you ,would build use tracking capability,tracking build capability
14,232,0:16:00,Charles,wouldn't have the angle problem ,would angle problem,angle problem would
31,235,0:16:00,Jamie,yeah the problem is that printing      on the ball     ,problem printing ball,ball printing problem
15,236,0:16:00,Charles,we thought the ball could just be  you could just sort of turn it off and on,thought ball could could sort turn,thought sort ball
16,239,0:16:00,Charles,so its like  instead of being a thing ,instead thing,thing instead
32,240,0:16:00,Jamie,there is a bit of that OK,bit ok,bit ok
17,241,0:16:00,Charles,well I suppose you could make the width of the print ,well suppose could make width print,suppose print width
245,245,0:16:00,AJ,     with the dots though      very very small you can only they've got ,dot though small got,dot small got
246,246,0:16:00,AJ,such low they'll last      you heat them up very very briefly and then ,low last heat briefly,briefly heat low
247,247,0:16:00,AJ,they'll go cold again ,go cold,cold go
249,249,0:16:00,AJ,probably why you get spots appearing on the second one erm,probably get spot appearing second one erm,erm spot appearing
24,254,0:16:00,Tony,  at the moment what we've got available for a ,moment got available,moment available got
25,255,0:16:00,Tony,demonstrator is one of the types on the left so we do have this constraint ,demonstrator one type left constraint,left constraint demonstrator
26,256,0:17:00,Tony,of what that angle needs to be,angle need,angle need
27,260,0:17:00,Tony,yes that's going to limit us for the time being ,going limit u time,limit time going
28,262,0:17:00,Tony,if if it progresses beyond the demonstrator phase then I think we could ,progress beyond demonstrator phase could,phase demonstrator progress
29,263,0:17:00,Tony,open up more options by going for alternatives but we're not prepared to ,open option going alternative prepared,option open alternative
30,264,0:17:00,Tony,invest in two weeks work      whereas at the moment we're capitalising      ,invest two week work whereas moment capitalising,week work capitalising
31,265,0:17:00,Tony,the role      for something else     ,role something else,role else something
266,266,0:17:00,AJ,OK I think if we started with that I mean that's obviously where one of the ,ok started mean obviously one,started one mean
267,267,0:17:00,AJ,issues comes from and so if we try and work with that and try and work ,issue come work work,work issue come
268,268,0:17:00,AJ,around that by having some sort of guidance or whatever that would ,around sort guidance whatever would,guidance sort around
269,269,0:17:00,AJ,be good so you just mentioned how windsurfs have sort of a base to keep ,good mentioned windsurfs sort base keep,sort windsurfs base
270,270,0:17:00,AJ,the  to hold on to rather than actual hands are stabilised like a platform ,hold rather actual hand stabilised platform,platform hold actual
4,274,0:17:00,Sarah,a mans shaver,man shaver,man shaver
5,276,0:18:00,Sarah,that has an angle joint ,ha angle joint,angle ha joint
6,278,0:18:00,Sarah,and a guidance for your fingers and similar to the windsurf I mean it only ,guidance finger similar windsurf mean,similar windsurf finger
7,279,0:18:00,Sarah,moves in one axis ,move one axis,axis move one
8,281,0:18:00,Sarah,rather than round     ,rather round,round rather
282,282,0:18:00,AJ,it doesn't its almost flat isn't it I suppose,doe almost flat suppose,suppose doe flat
284,284,0:18:00,AJ,yeah it doesn't move that way I don't think,doe move way,doe move way
285,285,0:18:00,AJ,yeah let’s not go to far from what we really have to do cos you want  to ,let u go far really co want,really go co
286,286,0:18:00,AJ,keep      flat on the paper all the time,keep flat paper time,flat time paper
33,289,0:18:00,Jamie,does the razor stay flat though because the centre piece is much        ,doe razor stay flat though centre piece much,piece flat stay
9,290,0:18:00,Sarah, I'm not sure whether it does  completely stay flat I think there might be a ,sure whether doe completely stay flat might,completely stay flat
10,291,0:18:00,Sarah,little bit of a plain but its main axis is is that the razor has is that way I ,little bit plain main axis razor ha way,main ha razor
293,293,0:18:00,AJ,if I  if I remember correctly from  I don't know about this but from the ,remember correctly know,correctly remember know
294,294,0:18:00,AJ,other razors each blade has like a little spring down each side,razor blade ha little spring side,side spring blade
296,296,0:18:00,AJ,which means each blade can independently of housing can move that way ,mean blade independently housing move way,move independently blade
297,297,0:18:00,AJ,a little bit as well cant it? so that's ,little bit well cant,bit cant little
32,298,0:19:00,Tony,how’s that achieved that? is that is that achieved by a plastic that's ,achieved achieved plastic,achieved plastic
301,301,0:19:00,AJ,a spring that goes to surface,spring go surface,spring surface go
13,304,0:19:00,Tom,there’s f five of the razors isn't there ,five razor,razor five
0,307,0:19:00,Robert,I’ve brought some examples along      there’s one with a single spring in the ,brought example along one single spring,single spring brought
311,311,0:19:00,AJ,these are electric ones yeah?,electric one,electric one
1,312,0:19:00,Robert,yeah yeah these are      electric razors      and so this is ,electric razor,electric razor
313,313,0:19:00,AJ,your housemates are not going to be pleased ,housemate going pleased,housemate pleased going
2,315,0:19:00,Robert,slightly more expensive version that's got a spring either side ,slightly expensive version got spring either side,slightly side spring
33,316,0:19:00,Tony,yeah to give you that adjustment it slides on the surface,give adjustment slide surface,adjustment give slide
3,319,0:19:00,Robert,they do yeah there’s its one with the foils basically because on this the ,one foil basically,basically foil one
4,320,0:20:00,Robert,foil is sprung this one is well no the foil will run through rubbers and it ,foil sprung one well foil run rubber,foil sprung rubber
5,321,0:20:00,Robert,uses the the cutting edge that's sprung,us cutting edge sprung,cutting edge sprung
14,323,0:20:00,Tom,erm there’s a point here as well that do we need to keep  because this ,erm point well need keep,point erm need
15,324,0:20:00,Tom,will keep an even well a relatively constant pressure won’t it?,keep even well relatively constant pressure,pressure constant relatively
16,326,0:20:00,Tom,and you could also you could add a switch to this so you could switch it ,could also could add switch could switch,switch add also
34,328,0:20:00,Tony,yeah but I think there are other things that we might like to do as well,thing might well,thing might well
35,330,0:20:00,Tony,because it might control the force on the print heads and make sure it ,might control force print head make sure,print make control
36,331,0:20:00,Tony,comes on how you want it to,come want,come want
333,333,0:20:00,AJ,there were other problems that we're coming to later on as well,problem coming later well,coming problem later
34,335,0:20:00,Jamie,so is that what you call a gimble?,call gimble,call gimble
336,336,0:20:00,AJ,right OK go we're done thanks very much,right ok go done thanks much,right much done
37,339,0:20:00,Tony,I’ve got another one,got another one,another got one
340,340,0:21:00,AJ,OK yeah go on,ok go,go ok
38,341,0:21:00,Tony,it builds on another one,build another one,build another one
39,343,0:21:00,Tony,and it goes faster,go faster,faster go
344,344,0:21:00,AJ,top trumps ,top trump,top trump
40,346,0:21:00,Tony,but      as well its one of the things about this is that you've got the ,well one thing got,thing got one
41,347,0:21:00,Tony,main lump and then you've got steering piece towards the front which is ,main lump got steering piece towards front,piece main steering
42,348,0:21:00,Tony,so you've got  I guess you've ,got guess,guess got
43,349,0:21:00,Tony,kind of got the main unit that has got all the power and weight in it and ,kind got main unit ha got power weight,power main unit
44,350,0:21:00,Tony,then the flexible bit that does the steering,flexible bit doe steering,bit doe flexible
351,351,0:21:00,AJ,can I just explore that a little bit further is that something that we could ,explore little bit something could,explore bit little
352,352,0:21:00,AJ,consider where I know we're talking about a pen and you immediately ,consider know talking pen immediately,pen talking immediately
353,353,0:21:00,AJ,think about something that's this sort of shape that you can hold in your ,something sort shape hold,hold shape sort
354,354,0:21:00,AJ,hand like that but considering we're talking about toys in effect for ,hand considering talking toy effect,talking hand toy
357,357,0:22:00,AJ,could it be something that takes more of the shape of a of a train with,could something take shape train,shape train could
358,358,0:22:00,AJ,something else that gets pulled behind it for example,something else get pulled behind example,pulled example behind
361,361,0:22:00,AJ,erm yeah something that's much more of a quite a different shape that ,erm something much quite different shape,shape erm much
362,362,0:22:00,AJ,doesn’t require them to have that difficult sort of hold things in place like ,doe require difficult sort hold thing place,require place sort
363,363,0:22:00,AJ,this because that's one of the challenges children have isn't it?,one challenge child,challenge child one
365,365,0:22:00,AJ,holding the pen at the right angle,holding pen right angle,angle holding pen
17,367,0:22:00,Tom,     that's probably one of the things you want to teach a child though isn't ,probably one thing want teach child though,thing teach child
45,369,0:22:00,Tony,yeah well you could take all of the difficult stuff off them and make it ,well could take difficult stuff make,stuff make difficult
46,370,0:22:00,Tony,happen not that they'll do is move the lump around,happen move lump around,move happen lump
372,372,0:22:00,AJ,so you'll teach them how to move a mouse about,teach move mouse,mouse move teach
11,373,0:22:00,Sarah,if there’s a skill in that there’s a sense of achievement,skill sense achievement,achievement sense skill
18,374,0:22:00,Charles,we could have like a mouse rather than a pen that could just be a different ,could mouse rather pen could different,pen mouse could
19,375,0:22:00,Charles,starting point,starting point,point starting
47,376,0:22:00,Tony,all they have to do is put it on the table then move it around and it does ,put table move around doe,put move table
48,377,0:23:00,Tony,everything else,everything else,else everything
12,378,0:23:00,Sarah,I was thinking a different media than just a flat piece of paper ,wa thinking different medium flat piece paper,piece paper thinking
13,380,0:23:00,Sarah,a pens quite a nice sort of you know to get round angles and,pen quite nice sort know get round angle,pen nice round
6,382,0:23:00,Robert,do you think a mouse would allow you to apply that constant force that ,mouse would allow apply constant force,constant mouse apply
7,383,0:23:00,Robert,we need for this though,need though,need though
49,384,0:23:00,Tony,erm yeah I don't see why not I mean as long as the force is not going to ,erm see mean long force going,long erm force
50,385,0:23:00,Tony,push the mouse into the table then gravity should be on your side shouldn’t ,push mouse table gravity side,side push gravity
387,387,0:23:00,AJ,can I just clarify that you mean for the main lump to have all the sort of ,clarify mean main lump sort,main clarify lump
388,388,0:23:00,AJ,the weighty bits like the batteries and electronics and things like that or ,weighty bit battery electronics thing,thing electronics battery
51,390,0:23:00,Tony,erm I wasn't really being that prescriptive,erm wa really prescriptive,erm prescriptive wa
391,391,0:23:00,AJ,OK fine OK well anybody bring any other ,ok fine ok well anybody bring,bring fine anybody
18,392,0:23:00,Tom,I haven't brought much ,brought much,brought much
19,394,0:23:00,Tom,cos I didn’t think there’s a problem,co problem,problem co
20,396,0:23:00,Tom,if you ever go without it’s not too bad but it made me think,ever go without bad made,made bad go
21,397,0:23:00,Tom,in the means of a toy I have a quick problem because well I don't know ,mean toy quick problem well know,quick problem toy
22,398,0:24:00,Tom,if everyone’s seen it you can get a my son has a like a ghost it's a ,everyone seen get son ha ghost,ha ghost son
23,399,0:24:00,Tom,little ghost it’s about you know an inch high,little ghost know inch high,inch ghost high
24,401,0:24:00,Tom,what its got inside is its got and I can’t remember exactly ,got inside got cannot remember exactly,inside remember cannot
25,402,0:24:00,Tom,what its got inside its got a rubber a wheel which printed on it has a little ,got inside got rubber wheel printed ha little,ha inside rubber
26,403,0:24:00,Tom,erm I don't know why I'm telling you all this because its not really ,erm know telling really,erm telling know
404,404,0:24:00,AJ,oh yeah yeah yeah yeah yeah  you mean one of those footprint things,mean one footprint thing,footprint thing mean
27,405,0:24:00,Tom,its  got       it's got little footprints,got got little footprint,footprint got little
406,406,0:24:00,AJ,one of those  tablet  things that you write on is that what you mean?,one tablet thing write mean,thing tablet write
28,409,0:24:00,Tom,he must have got it from a cereal packet or something its like a little er  ,must got cereal packet something little er,er cereal packet
29,410,0:24:00,Tom,what’s kind of erm,kind erm,erm kind
30,412,0:24:00,Tom,yeah it's a self and yeah its got a pad an inky pad here and he,self got pad inky pad,pad inky got
35,413,0:24:00,Jamie,does that go all over the walls and everything?,doe go wall everything,doe wall everything
31,416,0:24:00,Tom,you walk it along a page,walk along page,page walk along
32,418,0:25:00,Tom,and it makes footprints,make footprint,footprint make
14,419,0:25:00,Sarah,that’s interesting cos I was thinking pastry brush you know how pastry ,interesting co wa thinking pastry brush know pastry,pastry wa thinking
15,422,0:25:00,Sarah,and white line machines but I couldn't think of anything that quite tied into ,white line machine could anything quite tied,tied machine white
