id,text,confidence,speakerId,language,adjustedStart,adjustedEnd,start,end
54,"what's going on as well.If we're all talking at the same time,so we should try to get along discipline that's right.Unless it's something with value of course,and then we simply step,will talk to him, period.So it doesn't drop. This is good idea.Try to explain your ideas,but don't go on forever.Obviously try to break existing mindsets so you've seen some of the sketches.Voice in a sketch on the briefing,document some of you have been closer involved in the project.Have seen quite a lot of sketches and the form factor has already taken shape quite a lot on some of those sketches.I would suggest that we try to partner in the back of our minds and because actually there may be completely different form factors that may be quite relevant aswell and ChildLine. Childlike behavior is fine,but don't draw on the table because Joe will get angry and everything is possible at this stage.So in terms of the brainstorm,then we we should concentrate on divergent of ideas not only converges,so we try to generate as many ideas in as many different avenues as we possibly can.And. Well, it's quite important is it's about the third link is inkless pen,but it's also about the media,so it's the interaction between the special paper and.The thermal panel basically OK.Now I know part of the briefing document focuses about the printheads and things like that,and obviously that's a key aspect",0.8672,2,en-US,0:04:10.43,0:05:40.11,0:04:10.43,0:04:11.34
79,of the brave soul.,0.702,5,en-US,0:05:40.12,0:05:41.02,0:05:40.12,0:05:41.02
80,We should also not forget that the paper is involved in all of this as well.Should have seen some of those pictures and then it generally want to give a do you want to say a couple of words about the sort of concept ofwhat the yeah? I think the one on the top left is the one.That's the real main focus of the what we should do today and that's a standard plane thermal paper.And,0.8476,2,en-US,0:05:42.39,0:06:07.85,0:05:42.39,0:05:45.69
85,then depending. Draw it said,0.6674,4,en-US,0:06:07.86,0:06:11.17,0:06:07.86,0:06:11.17
86,"variety of patterns or lighting types.So for the process of making this prototype,that's going",0.6267,2,en-US,0:06:11.18,0:06:17.05,0:06:11.18,0:06:14.14
89,to help us sell,0.8439,6,en-US,0:06:17.06,0:06:18.62,0:06:17.06,0:06:18.62
90,a project. That's the,0.8582,4,en-US,0:06:18.63,0:06:20.03,0:06:18.63,0:06:20.03
91,"concept of it. Design and prototype.Other ideas on the paper there were other concepts for thermal end which.May follow the ultimate products,but are not. We're going to proceed first.We may want to talk about those letters or broader spectrum spectrum,but the main focus is that style of painting where.You",0.8486,2,en-US,0:06:20.18,0:06:47.19,0:06:20.18,0:06:26.59
98,will create set,0.526,4,en-US,0:06:47.2,0:06:48.07,0:06:47.2,0:06:48.07
99,patterns by moving,0.7319,6,en-US,0:06:48.08,0:06:49.47,0:06:48.08,0:06:49.47
100,over plain white,0.524,2,en-US,0:06:49.48,0:06:50.32,0:06:49.48,0:06:50.32
101,paper. Using color.,0.4868,4,en-US,0:06:50.33,0:06:52.7,0:06:50.33,0:06:52.7
102,"Yeah, we should do is does lives come up with this",0.7509,2,en-US,0:06:53.86,0:07:01.03,0:06:53.86,0:07:01.03
103,"new Wrangler media. Prince Philip their reactive dyes onto substrates and then hit them up.They come up with each other close to big so.Return test comes on this week.Today for us. Play over the whole tech recklessly.The color image appears. Paper,so providing we could provide peace offs then we could reveal an example.She's Princess paper now. Technically,that's more demanding because energizing entire adult content for long periods of time have batteries and was.So technically this stuff. I love percentage fill this place season text and things like that.There's a lot more realizable,but we could do that with the media.Whether we can do it with this quotation",0.6878,5,en-US,0:07:01.04,0:08:09.24,0:07:01.04,0:07:12.31
115,"I don't know, but the one on the",0.8284,2,en-US,0:08:09.3,0:08:10.81,0:08:09.3,0:08:10.81
116,"right, the one on the right,doesn't",0.7861,4,en-US,0:08:10.82,0:08:11.94,0:08:10.82,0:08:11.72
118,"actually have to be through my printer,it could",0.7334,6,en-US,0:08:11.95,0:08:13.62,0:08:11.95,0:08:13.34
120,"just be a career soldier,",0.6611,5,en-US,0:08:13.63,0:08:14.77,0:08:13.63,0:08:14.77
121,"yeah? Yeah, but basically the focus is on that at the moment and basically the idea is that there's a thermal print ads in the in.Which I've shared that takes now with that concept that there are a number of specific problems that we need to overcome,and I think that's what we want to focus on today and the mechanical brainstorm and then on Monday it is an electronics brainstorm as well and that will covera range of other topics.So basically the first problem that we need to think about is the volume of the user is aimed potentially,but not exclusively at 5 to 11 year olds we have some writing skill but not fantastic writing skill.They're likely to hold the pen in different ways.Angles etc. And so this there's two important things.One is that with respect to that in this concept,one is that the printer needs to stay in contact with the thermal print paper to actually print,so there needs to be this contact maintained and the other thing is the printer needs to stay in the right angle to print as well.So we need to think of designs that actually.Help to do that even though the user is not capable of keeping it exactly at the right shape or way,so one of the things that we asked in the rain.Stop, refrain from homework. Don't know if any of you have done this and it's to come up with some ideas as to other products or situations where a productneeds to follow a contour or what needs to be able to adjust itself keeping itself in the same alignment even though the user might be moving things to that.Did anybody? Any ideas?",0.8014,2,en-US,0:08:15.06,0:09:53.73,0:08:15.06,0:08:25.7
138,These beats are we living in limiting ourselves to these,0.6422,4,en-US,0:09:58.52,0:10:01.59,0:09:58.52,0:10:01.59
139,"topics? So these two. And then there's some more like this in bigger issues as well as well,right? Yeah, but we thought we'd start with these first because there are real problems that were currently thinking when I will go to overcome them,right? So as most value in in starting with that full list,right? Yeah, is it certain paper always thinking",0.6983,2,en-US,0:10:01.6,0:10:21.23,0:10:01.6,0:10:08.777
143,about other,0.6454,4,en-US,0:10:21.24,0:10:22.48,0:10:21.24,0:10:22.48
144,things? Mark store fabric. It could,0.7783,1,en-US,0:10:22.49,0:10:28.13,0:10:22.49,0:10:28.13
145,"be anything, yes?",0.8058,4,en-US,0:10:28.14,0:10:29.49,0:10:28.14,0:10:29.49
146,"Yeah, potentially it could be,yeah. What do you come up with Jeff?",0.8102,2,en-US,0:10:31.36,0:10:36.93,0:10:31.36,0:10:33.28
148,Active up with. Sledge sledge.So what,0.7052,1,en-US,0:10:38.36,0:10:46.34,0:10:38.36,0:10:45.33
150,"did that generate then? Well,this ledge manages to keep level by having quite a wide base and then main force in the middle.So unlike sets, keys weather quite narrow and you grew up in an age when you're turning.Yeah, Sledge is quite broad and then you have to wait right in the middle.So they managed to keep both were not only on this,no more often than it's a slightly smaller about Caesars,not good so would use potentially.See some some some guiders almost done inside of this.Well I guess the easiest way to keep the pain at the right angle would be",0.6901,2,en-US,0:10:46.35,0:11:22.17,0:10:46.35,0:10:47.95
159,to have a set of stabilizers,0.7915,4,en-US,0:11:22.18,0:11:23.35,0:11:22.18,0:11:23.35
160,"on it, like",0.8688,1,en-US,0:11:23.36,0:11:24.55,0:11:23.36,0:11:24.55
161,"a bicycle of like a slave.Devices. Another bicycle and more like it's a good day.Any other things that that sort of generated,either through for you or for anybody else?I have a flat face with a.Sort of universal joint, but the windsurfer mast and the base is quite big.It stays flat but",0.7102,2,en-US,0:11:24.56,0:11:51.66,0:11:24.56,0:11:27.46
168,the baby hold on to commit different,0.6721,4,en-US,0:11:51.67,0:11:53.94,0:11:51.67,0:11:53.94
169,angles. OK.,0.8825,2,en-US,0:11:53.95,0:12:01.42,0:11:53.95,0:12:01.42
170,I guess,0.9349,1,en-US,0:12:04.96,0:12:05.33,0:12:04.96,0:12:05.33
171,the size of the fan comes out of the paper.You could either have a very small contact area and.And,0.8187,4,en-US,0:12:05.34,0:12:12.05,0:12:05.34,0:12:07.8
174,"track where it goes. Well,you can have a wide confidence there is sure they live signs with head,for example. That's that you can do.But yeah OK go on then.It's pretty with, you know.I think you're the end of that.Size is dictated",0.8274,2,en-US,0:12:13.36,0:12:33.61,0:12:13.36,0:12:16
181,"by cost really, but",0.6826,1,en-US,0:12:33.62,0:12:34.6,0:12:33.62,0:12:34.6
182,it needs to be quite,0.7903,5,en-US,0:12:34.61,0:12:35.26,0:12:34.61,0:12:35.26
183,"imagine it's gonna be about that.Let's not be too late.Diamonds, but let's not be too preoccupied status shape that isn't just look at the tip of that driver that rest.I would suggest it could be 10 up to 10 milligrams and",0.7828,2,en-US,0:12:36.04,0:12:51.12,0:12:36.04,0:12:37.15
187,"it's it's a. It's a.It's not an edge one man,it's a it's a on the flat.There are two types of thermal",0.8453,4,en-US,0:12:51.13,0:13:01.35,0:12:51.13,0:12:54.29
191,printer.,0.6362,6,en-US,0:13:01.36,0:13:01.67,0:13:01.36,0:13:01.67
192,Where?,0.5433,1,en-US,0:13:09.35,0:13:10.06,0:13:09.35,0:13:10.06
193,You have the resistor sit on the on the lump there and you gotta type where.The resistors sit on,0.8063,4,en-US,0:13:12.96,0:13:21.18,0:13:12.96,0:13:17.81
195,this corner. Isn't,0.8262,6,en-US,0:13:21.19,0:13:23.18,0:13:21.19,0:13:23.18
196,"corner one. It's a corner,right? These are measured at.Yeah, this, there's an end,but that's on the edge goes over the papers.Yeah, there's a Titan does this as well then alright,",0.6384,2,en-US,0:13:23.19,0:13:43.69,0:13:23.19,0:13:25.25
201,"but the typing we've got is like this,but the actual facts",0.7807,5,en-US,0:13:43.9,0:13:48.407,0:13:43.9,0:13:45.78
203,more biased towards,0.7485,2,en-US,0:13:47.76,0:13:48.795,0:13:47.76,0:13:48.795
204,it's,0.7524,5,en-US,0:13:48.538,0:13:49.063,0:13:48.538,0:13:49.063
205,"the edge,",0.7485,2,en-US,0:13:48.85,0:13:49.34,0:13:48.85,0:13:49.34
206,much,0.7524,5,en-US,0:13:49.195,0:13:49.72,0:13:49.195,0:13:49.72
207,right?,0.8563,2,en-US,0:13:49.34,0:13:49.71,0:13:49.34,0:13:49.71
208,So you know we have a slight angle.,0.77,5,en-US,0:13:49.72,0:13:51.71,0:13:49.72,0:13:51.71
209,"Right, because",0.8161,2,en-US,0:13:53.26,0:13:54.53,0:13:53.26,0:13:54.53
210,"these you could, you can obviously.",0.7321,4,en-US,0:13:54.54,0:13:56.17,0:13:54.54,0:13:56.17
211,"Those who could angle much.Yeah, the typically what you do is you got you got foiled goes over them.Yes you get quite a lot you need.So we're talking mostly about that one or that",0.732,2,en-US,0:13:57.78,0:14:09.26,0:13:57.78,0:13:58.82
215,one as well. Saying,0.7165,7,en-US,0:14:09.27,0:14:10.6,0:14:09.27,0:14:10.6
216,"that one is, yeah, that was going to be only sort of customize.All of these told you have to keep.It's flat along along",0.7836,4,en-US,0:14:11.65,0:14:19.26,0:14:11.65,0:14:14.77
219,that he access,0.5949,3,en-US,0:14:19.27,0:14:20.32,0:14:19.27,0:14:20.32
220,"OK, which",0.6691,2,en-US,0:14:20.61,0:14:21.34,0:14:20.61,0:14:21.34
221,is. This is whether we need flat room first.,0.7329,4,en-US,0:14:21.35,0:14:24.52,0:14:21.35,0:14:24.52
222,"Yeah, I think we did well.We need guidance on both axes.Whichever way you do it,I think I just got one,yeah? This is. If you have a hot bowl of ballpoint pen.And then you had a tracker like optical mouse.Then in that picture where you're moving up and across the paper and it's making so happens repeating patterns instead of doing it all in one go.But a wide pretty good do.It would just do a thin line at time,but when he scribbled upwards it would build up.Then it gives that tracking caters to see that you wouldn't have the angle problem at all.Yeah, so let's bring",0.8619,2,en-US,0:14:26.03,0:15:13.55,0:14:26.03,0:14:28.246
234,him down there. So the bull,0.6136,4,en-US,0:15:14.04,0:15:17.14,0:15:14.04,0:15:17.14
235,"could just be right, so turn it off and on.Yeah, so it's like so.Instead of being a third party thing,it's yeah. There's a bit of that,OK, but you just make it well,since make the width of the printer can magically small,we did that move Sydney.Very, very small pneumatic lift.Such low film last year and he looked very very briefly and they get cold again.Yeah, why",0.807,2,en-US,0:15:17.15,0:15:46.28,0:15:17.15,0:15:22.97
245,you have spots period.,0.6246,5,en-US,0:15:46.29,0:15:47.33,0:15:46.29,0:15:47.33
246,"OK, sorry yeah. At the moment we've got available for",0.8331,2,en-US,0:15:51.03,0:15:57.5,0:15:51.03,0:15:57.5
247,"a demonstrator is more of the type of the top left,so we do have this constraint of what the angle needs to be,",0.8594,5,en-US,0:15:57.81,0:16:06.9,0:15:57.81,0:16:00.99
249,so that's going to mean this bit here.That's gonna limit,0.77,2,en-US,0:16:07.11,0:16:10.02,0:16:07.11,0:16:09.26
251,us for the time being.I think if,0.8729,5,en-US,0:16:10.03,0:16:12.88,0:16:10.03,0:16:11.3
253,if it progresses,0.8286,1,en-US,0:16:13.03,0:16:13.96,0:16:13.03,0:16:13.96
254,beyond,0.8633,2,en-US,0:16:13.97,0:16:14.88,0:16:13.97,0:16:14.88
255,"the demonstrator phase then I think we could open up a lot more options by going from one of the other times,but we're not prepared to invest in two.System had personal cannibalizing one from something else.",0.8482,5,en-US,0:16:14.91,0:16:30.06,0:16:14.91,0:16:22.41
258,"OK, I think",0.7872,6,en-US,0:16:30.37,0:16:31.23,0:16:30.37,0:16:31.23
259,"if we start with that,I mean, that's obviously where Y where one of the issues comes from and so we try and work with that and trying to work around that.By having some sort of guiding mechanism or whatever that would be good.So you just mentioned the windsurf had the sort of base to keep the hold onto.Other actual had destabilized Michael platform.Any other",0.8749,2,en-US,0:16:31.24,0:16:54.56,0:16:31.24,0:16:32.43
265,"pictures? OK IS. Yeah. Joint,yeah. Similar square Windsor family",0.8144,1,en-US,0:16:54.57,0:17:06.06,0:16:54.57,0:17:01.785
267,moves in.,0.6736,4,en-US,0:17:06.57,0:17:07.1,0:17:06.57,0:17:07.1
268,"I. It doesn't, it. It's always flat,isn't it? As fast? Yeah,it doesn't move that way.And I think, yeah, that's a really good tonight if we have to do because you want",0.7919,2,en-US,0:17:08.47,0:17:19.62,0:17:08.47,0:17:12.4
272,"to keep the whole exhibit flats on the paper all the time,",0.7956,5,en-US,0:17:19.63,0:17:22.92,0:17:19.63,0:17:22.92
273,"yeah? Does the razor state flatly because the centerpieces much forces in the middle?But its main axis is.If ever, if I remember correctly from about those,but from. The the other races what each blade also has,like a little spring down each side,which means it's late, can independently of the housing can move that way a little bit as well,something well, that's done, so there's some how's that achieved them is that?It's a cheap plastic that's bending.Or is it",0.7362,2,en-US,0:17:23.06,0:18:05.65,0:17:23.06,0:17:31.81
282,just keeps,0.7194,7,en-US,0:18:06.24,0:18:06.76,0:18:06.24,0:18:06.76
283,"bringing, isn't it? You see,",0.6615,5,en-US,0:18:06.77,0:18:07.99,0:18:06.77,0:18:07.99
284,"against the surface it is.It pivots, and there's some sort of.Century",0.7564,2,en-US,0:18:08,0:18:13.91,0:18:08,0:18:09.713
287,Springs you,0.7481,6,en-US,0:18:13.92,0:18:15.07,0:18:13.92,0:18:15.07
288,let it find yourself level against service.,0.6209,5,en-US,0:18:15.08,0:18:18.01,0:18:15.08,0:18:18.01
289,Yeah there's there's five,0.7138,2,en-US,0:18:18.24,0:18:19.73,0:18:18.24,0:18:19.73
290,bladed razors muscle.,0.6975,4,en-US,0:18:19.8,0:18:21,0:18:19.8,0:18:21
291,Yeah,0.8384,1,en-US,0:18:22.02,0:18:22.5,0:18:22.02,0:18:22.5
292,"yes, yeah really",0.7745,2,en-US,0:18:23.12,0:18:24.53,0:18:23.12,0:18:24.53
293,wind up yet I've done gross and examples of that.So there's a single spring in the sense there yeah and then there's one,0.7546,6,en-US,0:18:24.54,0:18:33.15,0:18:24.54,0:18:27.81
295,"these are electric ones yeah,",0.6227,2,en-US,0:18:33.58,0:18:34.83,0:18:33.58,0:18:34.83
296,yeah.,0.924,4,en-US,0:18:34.88,0:18:35.25,0:18:34.88,0:18:35.25
297,Races and so this is your,0.867,6,en-US,0:18:36.91,0:18:39.18,0:18:36.91,0:18:39.18
298,husband's not gonna be please.,0.8142,2,en-US,0:18:39.56,0:18:40.46,0:18:39.56,0:18:40.46
299,Specification that's got spring side.,0.7599,6,en-US,0:18:43.83,0:18:46.21,0:18:43.83,0:18:46.21
300,He doesn't give you,0.7077,2,en-US,0:18:47.47,0:18:48.67,0:18:47.47,0:18:48.67
301,that. It just,0.914,1,en-US,0:18:48.68,0:18:49.97,0:18:48.68,0:18:49.97
302,"writes on the surface. Oil.Yeah, this is one of those places that is on this boil is strong as well as the final runs and runs and it uses the.My",0.7686,6,en-US,0:18:50.44,0:19:13.12,0:18:50.44,0:19:00.62
305,brother is now.,0.8056,2,en-US,0:19:13.13,0:19:14.06,0:19:13.13,0:19:14.06
306,And. Is the point,0.8107,4,en-US,0:19:16.74,0:19:19.17,0:19:16.74,0:19:19.17
307,here as well that? Do,0.8227,2,en-US,0:19:19.18,0:19:21.56,0:19:19.18,0:19:21.56
308,"we need to keep? Because this this will keep an even well,relatively",0.8497,4,en-US,0:19:21.57,0:19:27.15,0:19:21.57,0:19:26.6
310,"constant pressure, won't it?",0.7031,6,en-US,0:19:27.16,0:19:28.33,0:19:27.16,0:19:28.33
311,And also you gotta switch to this so,0.8467,4,en-US,0:19:29.72,0:19:31.56,0:19:29.72,0:19:31.56
312,you can switch it on.,0.812,6,en-US,0:19:31.57,0:19:32.51,0:19:31.57,0:19:32.51
313,"Yeah, I think the things that we'd like to do is well controlled.Amount of Folsom Printheads and make sure it comes out.We wanted to",0.848,5,en-US,0:19:33.92,0:19:43.65,0:19:33.92,0:19:39.69
316,and,0.8785,6,en-US,0:19:44.32,0:19:44.69,0:19:44.32,0:19:44.69
317,"and there are other problems that were coming to later on as well.Yeah, so that we call a gimbal,writes it down we're done,thanks. I've got another one.Yes, it builds online. It goes faster.Schedule date. I cannot do that.But as well, it's. One of the things about this is that you've got the mainland,and then you've got a",0.7663,2,en-US,0:19:44.72,0:20:26.65,0:19:44.72,0:19:48.58
325,"steering piece in the front which is.I guess you kind of got the main unit,but it's got all the power",0.858,5,en-US,0:20:26.66,0:20:37.54,0:20:26.66,0:20:29.56
328,and weight in there,0.6583,2,en-US,0:20:37.55,0:20:38.27,0:20:37.55,0:20:38.27
329,and then. Flexible,0.9393,6,en-US,0:20:38.46,0:20:41.99,0:20:38.46,0:20:41.99
330,bits.,0.8591,5,en-US,0:20:42,0:20:42.39,0:20:42,0:20:42.39
331,"Images Explore that a little bit further is that is that something that we could consider where I know when people talk about a pending immediately think about something that'sthis sort of shape that you're holding your hand?Like considering we're talking about.Toys in effect for children and could it be something that takes more of the shape of a overtraining?There's something else that gets pulled behind it,for example. And yeah, yeah,something that's much more of a a different,quite a different shape that doesn't require them to have that difficult sort of hold things in place.That this because that's one of the challenges to have,isn't it? Yeah, all the pain.Yeah, I agree with you,so that's probably one",0.8123,2,en-US,0:20:45.03,0:21:30.61,0:20:45.03,0:20:54.53
343,of the things that you want to teach a child.,0.8845,4,en-US,0:21:30.62,0:21:32.83,0:21:30.62,0:21:32.83
344,"There's no. Yeah, we could take all of",0.8416,2,en-US,0:21:32.84,0:21:35.37,0:21:32.84,0:21:35.37
345,the difficult stuff off them and make it happen and all they're gonna do is move,0.8468,5,en-US,0:21:35.38,0:21:39.93,0:21:35.38,0:21:39.93
346,"around,",0.7095,1,en-US,0:21:40.31,0:21:40.67,0:21:40.31,0:21:40.67
347,"yeah, but then yeah,",0.6911,4,en-US,0:21:41.7,0:21:43.44,0:21:41.7,0:21:43.44
348,"so you also want to teach how to move the mouse.It's the future. Yeah, it could be offered mouse from the plan",0.7029,2,en-US,0:21:44.44,0:21:53.5,0:21:44.44,0:21:48.75
350,with that could just be different starting,0.8158,4,en-US,0:21:53.57,0:21:55.75,0:21:53.57,0:21:55.75
351,points.,0.9568,2,en-US,0:21:55.76,0:21:56.24,0:21:55.76,0:21:56.24
352,Balloons make it around. It does everything else.Too,0.8095,5,en-US,0:21:57.88,0:22:01.44,0:21:57.88,0:22:01.22
354,much improvement. Depends. Yeah.,0.7008,2,en-US,0:22:01.45,0:22:10.04,0:22:01.45,0:22:10.04
355,Max is allowed to apply that constant force for this stuff.,0.7782,6,en-US,0:22:11.55,0:22:15.39,0:22:11.55,0:22:15.39
356,I mean false is,0.7939,2,en-US,0:22:18.17,0:22:20.06,0:22:18.17,0:22:20.06
357,not going to push the national table.Aside from that?,0.7465,5,en-US,0:22:20.07,0:22:25.75,0:22:20.07,0:22:21.7
359,Can,0.7751,1,en-US,0:22:27.13,0:22:27.34,0:22:27.13,0:22:27.34
360,"I just clarify that you mean for the main month to have all the stuff to wait?If it's like the batteries and electronics and things like that or the date that way.OK,",0.6868,2,en-US,0:22:27.35,0:22:39.5,0:22:27.35,0:22:31.49
363,but OK,0.8838,1,en-US,0:22:39.99,0:22:42.05,0:22:39.99,0:22:42.05
364,then. Any other market is OK.,0.6844,2,en-US,0:22:42.2,0:22:47.68,0:22:42.2,0:22:47.68
365,Kiss,0.8335,3,en-US,0:22:51.78,0:22:52.55,0:22:51.78,0:22:52.55
366,"if you ever go with that.But it made me think of.Toy, yeah, well I don't see you can get there.My son has a like a ghost.It's a little ghost. About,you know. Hi",0.734,4,en-US,0:22:52.98,0:23:11.65,0:22:52.98,0:22:54.49
372,Jim.,0.5604,6,en-US,0:23:11.88,0:23:12.25,0:23:11.88,0:23:12.25
373,"Yeah,",0.8266,1,en-US,0:23:13.98,0:23:14.27,0:23:13.98,0:23:14.27
374,and it's what it's going inside is.It's got and I can't remember exactly what it's gonna say.It's got a rubber wheel.Which printed on it has all.I don't know why I'm telling you all,0.8583,4,en-US,0:23:14.28,0:23:28.45,0:23:14.28,0:23:16.66
379,"this because it's not really.Oh yeah, it's got. It's gotta be for this firm.It's got little footprints. One of those things that you write on that which mean",0.8301,2,en-US,0:23:28.46,0:23:37.29,0:23:28.46,0:23:29.42
382,"no, it's great. It's like a.Sorry for that. Cereal packet or something?And yeah, it's a self and yeah,it's got. It's got a pad and keypad here.And it scares",0.7053,4,en-US,0:23:37.32,0:23:51.94,0:23:37.32,0:23:40.2
387,me. So I go over the wall Smith.,0.6961,5,en-US,0:23:52.03,0:23:54.32,0:23:52.03,0:23:54.32
388,We walk,0.5773,3,en-US,0:23:56.34,0:23:56.93,0:23:56.34,0:23:56.93
389,along on the on the page and,0.7528,4,en-US,0:23:56.94,0:24:00.15,0:23:56.94,0:24:00.15
390,"it makes footprints. Pastry brush white line machines,",0.7352,2,en-US,0:24:00.16,0:24:07.41,0:24:00.16,0:24:07.41
391,but couldn't figure anything. It's,0.5961,3,en-US,0:24:07.42,0:24:08.61,0:24:07.42,0:24:08.61
392,quite tired Internet so the idea,0.7011,1,en-US,0:24:08.76,0:24:10.11,0:24:08.76,0:24:10.11
393,"will yeah. So this is the mechanical way of doing what what we're talking about,but so you could think could look like like a character could.I guess the good thing about this is looking at this idea.Tom is that. This is the print head here,",0.8298,4,en-US,0:24:10.12,0:24:26.38,0:24:10.12,0:24:16.49
397,and this is quite a wide caravan is that?There's,0.844,1,en-US,0:24:26.65,0:24:32.21,0:24:26.65,0:24:32
399,"only a limited amount of angles that even pulled out to be like.Yeah, 'cause if he you know if he goes.",0.7095,2,en-US,0:24:32.22,0:24:38.03,0:24:32.22,0:24:35.359
401,"This digs into the paper,",0.7559,4,en-US,0:24:39.58,0:24:41.07,0:24:39.58,0:24:41.07
402,"so you could even have three wheels continue through small wheels,sort of guided. You could you could",0.6851,2,en-US,0:24:41.72,0:24:46.93,0:24:41.72,0:24:45.02
404,give a mouse and you could have been cross section.It could be kind of like this so you can look down here.,0.7632,5,en-US,0:24:46.94,0:24:56.05,0:24:46.94,0:24:51.731
406,You can see the whole with the see where he's going and just stick three,0.76,1,en-US,0:24:56.16,0:25:02.85,0:24:56.16,0:25:02.85
407,ball bearings in,0.6472,2,en-US,0:25:03.16,0:25:03.97,0:25:03.16,0:25:03.97
408,"here it was, roll around on the surface.Yeah, it's just that you put in quite a lot of stuff around where you're actually",0.7836,5,en-US,0:25:03.98,0:25:13,0:25:03.98,0:25:06.41
410,"marking. Yeah,",0.7667,1,en-US,0:25:13.01,0:25:14.22,0:25:13.01,0:25:14.22
411,"it's it's. It's sort of.It's a compromise between. With a pen you want to see what you're doing that you want to see them,but with that with this type of toy,you don't do well. You don't have to.Yeah, it's probably better if it's",0.8625,4,en-US,0:25:14.23,0:25:28.09,0:25:14.23,0:25:15.27
416,"perfect where the pattern appears at an edge,so you can go right up to it.Yeah, yeah, rather in the middle of something big.If it's big, maybe just not so much,as long as it's an edge.The big",0.7465,2,en-US,0:25:28.44,0:25:39.61,0:25:28.44,0:25:32.08
422,"thing. Weather, but even with",0.7301,4,en-US,0:25:39.62,0:25:41.85,0:25:39.62,0:25:41.85
423,"paper doesn't, especially could still get through that,just not knowing who bring a room that you can't get too attached is it becomes more",0.7125,2,en-US,0:25:41.86,0:25:48.99,0:25:41.86,0:25:44.92
425,complex. Users. Eagle Rd safety will get,0.7095,5,en-US,0:25:49,0:25:52.19,0:25:49,0:25:52.19
426,"to this corner, yes? Yeah.That's an interesting idea. From Wales to any other things that people brought.",0.7453,2,en-US,0:25:52.2,0:26:03.88,0:25:52.2,0:25:57.63
