Line,Time,Speaker,Discussion
80,,,you and I met Angela you said you were interested in talking to funeral 
81,,,directors and so on and so forth obtain feedback from people who’d be 
82,,,using the building
83,,Angela,which is everyone that’s come in has been dragged in to show even 
84,0:10:00,,my mum’s had a look [laughs]
85,,Adrian,well the design has developed a wee bit since erm you saw it last time 
86,,,erm the design obviously is still in exactly the same place but the design 
87,,,is extended to include the actual cremator facility so if I can start 
88,,,with this particular drawing err you’ve seen a version of this drawing 
89,,,before basically we’re arriving in the new car park in this area and 
90,,,from the car park we’ll enter the building through a waiting area this this 
91,,,leads us to the first query I have because um there was some discussion 
92,,,about whether you wanted the size of the waiting room increased at 
93,,,the moment it’s exactly on brief but it does look + kind of small to my 
94,,,eye in relation to the size of the project
95,,Angela,yes I’d be interested to know in a sense what sort of seat- er how many 
96,,,seats in a sense you could get in a sense that most people arrive 
97,0:11:00,,probably at least
98,,Secretary,[knocks on the door] is Ben here (  )
99,,Adrian,we’re expecting Ben
100,,Angela,yes but the heating people I’ve said I won’t be able to see them until 
101,,,possibly later this afternoon or tomorrow afternoon is it mr bonnington 
102,,Secretary,yes it is
103,,Angela,he was wanting to go down to animal control to start looking
104,,,at the work in there but I did tell him I had a meeting all 
105,,,morning and tomorrow morning as well
106,,Secretary,and tomorrow morning
107,,Chris,yes I mean if you take him over to animal control
108,,Angela,that’s what is got he came here to do 
109,,Secretary,he knows what he’s got to do-
110,,Chris,Yes (  )
111,,Secretary,OK [leaves room]
112,,Adrian,to answer your question it’s a relatively small room the area is similar 
113,,,to the existing waiting room and as such you are unlikely to get more than
114,0:12:00,,about eight to ten maximum twelve seats in there I would have thought 
115,,,probably because the building well the room is doing so much its 
116,,,allowing people through into the porch area it’s also allowing access to
117,,,the loos so my first question to you is is waiting the room big enough and 
118,,,would you like us to increase it
119,,Angela,I would say although the time spent sitting and waiting might not be 
120,,,very long and eight seats seems enough at some stages even our waiting 
121,,,room is too big so its slightly I’m also thinking of the fact that if we’ve 
122,,,got a flow of people walking through that then restricts us we can’t put 
123,,,seats through that because in a sense we need to keep an access open 
124,,,and so the seating will be against the wall
125,,Adrian,what I’d recommend is that we look at doing something like that 
126,,,extending it which will give you seating areas here seating areas here 
127,,,seating areas here as well as here and here which effectively will double 
128,,,the seating capacity from what I was just saying
129,,Angela,yes I mean people waiting for cabs or for people waiting to be picked 
130,0:13:00,,up as well for services you know it might not sort of eight might be more 
131,,,than enough for funerals for the majority of the time but I would think 
132,,,it’s nice to give them a bit more space as well because we might get 
133,,,people waiting for the eleven o’clock funeral erm and people at the ten 
134,,,o’clock perhaps arrive and so they keep in their little groups they don’t 
135,,,want to mix with other people so the feeling of keeping them segregated 
136,,,just because they don’t know the other people might also be there and we 
137,,,do have problems with families like that during funerals they don’t 
138,,,want to be [laughs]
139,,Chris,police attendants [laughs]
140,,Angela,police attendants quite often you know you’d think it would bring 
141,,,them together but it actually makes it worse
142,,Adrian,really gosh
143,,Angela,yeah and they sit separately in the chapel as well it’s all to do with 
144,,,money and you know they’ve left someone something wonderful 
145,,,that’s most of the time what it is or the other family are cross because 
146,,,one family has arranged it and they used  they never visited her while she 
147,,,was alive and how dare they get involved with this and it all escalates
148,,Peter,it’s like east eastenders [all laugh]
149,0:14:00,Angela,indeed I mean yes it can escalate to sort of violence at times not here so 
150,,,far but threats of it at times so the idea that number one we have people 
151,,,for other services arriving perhaps at the same time they want to keep 
152,,,separate families like to keep separate and also the fact that perhaps 
153,,,people are waiting for lifts or other things as well perhaps they’ve had 
154,,,the service and they come back in the waiting room to wait for someone 
155,,,to pick them up or just because they’re waiting for the taxi or 
156,,,something
157,,Adrian,ok
158,,Angela,so I’d like it a little bit bigger I think + not hugely because there is it is 
159,,,a wasted space most of the day really 
160,,Adrian,Yeah well I would have thought another couple of metres on there [writes 
161,,,on drawing] would do the trick so shall we agree a two meter extension 
162,,,yes or thereabouts hmm
163,,Angela,I mean the other suggestion that perhaps I could make at this stage 
164,,,would be perhaps for a small amount of outside seating because people 
165,0:15:00,,like to smoke at funerals they like to have a and the seat that we’ve got 
166,,,out by the car park at the moment the half seat even if it’s cold and not 
167,,,very nice is actually people feel more happier out there then they do 
168,,,sometimes in the waiting room
169,,Adrian,yes well we can certainly add some outdoor seating out here if you 
170,,,wish we have got some outdoor seating here we’ve got a number of 
171,,,benches there erm but we can add-
172,,Angela,people like to
173,,Adrian,more in this area if you wish
174,,Angela,especially if we have a no smoking policy in the waiting room which 
175,,,we have now people like to mess up our grounds with their cigarette 
176,,,ends +++ just a thought that they also don’t like they don’t know where 
177,,,they’re going most of the time even if you were to point them in the right 
178,,,direction and they feel frightened most people attend the funeral don’t 
179,,,want to actually be right next to the family because they don’t want to be 
180,,,in their face and they don’t want to get involved with it but they want to 
181,,,attend the funeral and so it’s awkward they want to stand back a bit they 
182,,,want to be seen that they’re there but they actually don’t want to actually 
183,,,even perhaps sometimes speak to the other people you know so they quite 
184,0:16:00,,often hang back a bit and so the idea of putting here [gestures over 
185,,,drawing] would be quite nice because they wouldn’t they could see the 
186,,,funeral arrive and then they could sort of still stay here it’s like getting 
187,,,them into the chapel but we’ll talk about that once we get to that stage we 
188,,,can’t get them to move up front because I don’t know them that well you 
189,,,know that sort of thing I’m just saying what happens at a funeral they say 
190,,,oh I don’t really know them that well I’m not related to them and so if 
191,,,they’re here they’re important people for attending a funeral but they 
192,,,actually don’t particularly want to be that far up the front they don’t 
193,,,want to be sort of the people that they have to deal with the main 
194,,,mourner
195,,Adrian,OK ++
196,,Angela,so it would be nice to do something
197,,Adrian,yes + so having got this this far we’ve got a bigger waiting room loos and 
198,,,loos also using for disabled persons in the porte cochere we’ve got a 
199,,,grand porte cochere it’s wider than the existing porte cochere erm I think 
200,,,last time you commented that was quite a nice idea again people can mill 
201,0:17:00,,around here [gestures with pen] and wait and the way it’s designed at the 
202,,,moment they can wait and enjoy the pond [points] look at this area look 
203,,,at the planting and erm ++
204,,Angela,the funeral directors are a little bit concerned about that with regard to 
205,,,their access for their hearses that’s one of the comments that we’ve 
206,,,had and so we’ll need to get some sort of feedback as to what they 
207,,,perhaps need to do I mean obviously in a sense what they’re concerned 
208,,,about is if they’re coming down here [points] they’ll probably only get 
209,,,their hearses around to this area to carry in
210,,Adrian,that wasn’t the idea I was anticipating that the hearses would be 
211,,,parked here [sketches]
212,,Angela,were there OK that’s fine yeah
213,,Adrian,exactly as they are at the moment that the coffin would be drawn out 
214,,,here and they would simply [points] walk it in I wasn’t thinking that 
215,,,they’d try and park
216,,Angela,no that’s OK
217,,Adrian,in there
218,,Angela,yes well that’s what they’re wondering how that would work then so 
219,,,we’d work I wasn’t quite aware
220,,Adrian,we’d work it exactly the same way as the present system I mean 
221,,,maybe this should be made more obvious by perhaps a different colour 
222,0:18:00,,in the paving or something [sketches] I mean what I’m trying to say here 
223,,,is that that’s the vehicular line [sketches]
224,,Angela,yes
225,,Adrian,and that these areas [points] are for people to mill about in and you’ve got 
226,,,a place for people to stand
227,,Angela,yes they will probably want to know how [points] how + how  far that is 
228,,,from the because they’re going to be possibly carry the coffins in and 
229,,,most of the men are sort of in their seventies and eighties [laughs]
230,,,carrying the coffin
231,,Adrian,that’s only eight metres there’s not a huge difference
232,,Angela,that’s alright so long as I yes I mean they’re not criticising they’re 
233,,,just wondering how the flow of vehicles goes and where I mean 
234,,,they’re looking at it from their angle we’re looking at it obviously 
235,,,trying to make sure everything’s covered so they wanted to know 
236,,,roughly where they went how would they park how would they then 
237,,,offload the coffin normally by carrying on what we call shoulders so 
238,,,they would carry on a shoulder so that then obviously the area the 
239,,,length of that is important to them
240,,Chris,the other thing is they could use a bier
241,0:19:00,Angela,they could use a bier yes they don’t particularly like to they find it 
242,,,undignified some of them at the moment ++
243,,Adrian,to use a trolley
244,,Angela,a trolley yes I mean it’s health and safety it’s much easier for them to do 
245,,,that and the original concept of this chapel was that the bier the 
246,,,catafalque would actually come out and meet the hearse and it would 
247,,,be put on to the catafalque and then they would then wheel that in on 
248,,,there and so that was the original idea but that never really worked
249,,Chris,mainly because of the funeral directors
250,,Angela,funeral directors and the fact that they’ve always carried coffins in 
251,,,through churches and things like that there’s still this concept of doing 
252,,,it of sort of shouldering them carrying them in
253,,Chris,I think I mean the idea would still be that that would be the a flat 
254,,,route through [points]
255,,Angela,yes
256,,Chris,for a
257,,Adrian,yes (  ) a flat route through
258,,Angela,but they just wanted to know as to where they would I mean although 
259,,,I actually haven’t that’s my fault I remembered that from my 
260,,,discussion so that was they just wanted to know where do they park 
261,,,their vehicle [gestures] do they come round and they’re looking at it from 
262,0:20:00,,their side so that’s important to them that we make sure we you know
263,,Chris,the other thing if you’ve got erm several funeral vehicles cars carrying 
264,,,mourners they were coming through it as well [points] they’re currently 
265,,,how do they sort themselves out if there’s more than say four four of 
266,,,them
267,,Angela,yes what happens [gestures] on the existing site is that we that the hearse 
268,,,draws up as the main vehicle and we can get two [begins to point] 
269,,,limousines side by side underneath the erm porte-cochere and then one 
270,,,area by here as well so we can get two limousines underneath the covered 
271,,,area and one just under here which is why we’ve got the stepping stone 
272,,,sort of paving slab by my office out there so that if they it’s not wide 
273,,,enough for them to open the door and to get on to the path or road they 
274,,,have to get on to the grass area on this side ++++
275,,Adrian,I’ve shown four metres there which is + a bit tight for two cars to park 
276,0:21:00,,side by side so would you like me to widen this [writes] +
277,,Angela,I don’t if the if the the hearse will draw up to possibly they will draw it up 
278,,,to about here [points] and then as long as sort of a couple of vehicles can 
279,,,get underneath here the majority of them are I would say two hearse 
280,,,funerals
281,,Chris,two car
282,,Angela,two cars two limousines and the hearse so you’ve got three vehicles the 
283,,,majority very rarely do you get three family cars erm but obviously if 
284,,,you’ve still got space to carry them down one here one here as well then 
285,,,that’s enough room then to meet
286,,Adrian,if if the hearse moved up a little bit further [begins to sketch] and there 
287,,,was coffin space there you would have space for 
288,,Angela,space for those above the coffin area yes
289,,Adrian,side by side here
290,,Angela,yes and you’ve got to obviously allow for the doors to open for them 
291,,,to get out easily
292,,Adrian,yes I’m sure there’s space for that
293,,Angela,I’m sure there is and then like I say if there’s another limousine here 
294,,,then that would be in a sense like we have at the moment
295,,Adrian,so you could put a third one here if you wanted
296,,Angela,yes so that’s what they’re looking at from their side is how do they 
297,,,arrive where do they put their vehicles and how easy is the access into 
298,0:22:00,,the chapel so that’s what their remit is to look at that ++
299,,Adrian,OK so you didn’t see any alterations necessary to make that work
300,,Angela,not no as long as there’s a that’s what they’re I mean if we have a sort of 
301,,,consultation meeting with them that’s what they will be interested in 
302,,,they’ll be slightly interested in this side but they are only interested in 
303,,,how they arrive how do they offload the coffin how do they deal with that 
304,,,into the chapel and sort of how do they then get their vehicles to the 
305,,,wreath court which is the other issue that they’ve got but we’ll get there 
306,,,when we get to that bit 
307,,Adrian,OK my only point is that it would be relatively simple to widen that 
308,,,[points] a wee bit if that was helpful to you
309,,Angela,yes
310,,Chris,I think it possibly would be
311,,Angela,yes [points] in a sense to just these bits here what is- is that-
312,,Adrian,this is a planting bed at the moment so it would be quite simple to 
313,,,widen it a wee bit [sketches] if you thought it was helpful but
314,,Angela,so what we have is the [points] doors open here so they’re opened on to 
315,,,this side and people can get access but because they’ve left the doors 
316,0:23:00,,open wide enough here on this side at the moment they’re not wide 
317,,,enough and so we’ve had to put like a little paving area here that’s not  
318,,,particularly attractive so it’s got to be wide enough for people to have 
319,,,the doors open and also wheelchair access sometimes that’s what we’re 
320,,,looking at people obviously arriving in wheelchair vehicles as well and 
321,,,sometimes you get limousines and then you get perhaps a disabled bus 
322,,,as well for people being delivered funerals +
323,,Adrian,OK [begins to point] so having got this far everyone is now under cover 
324,,,at this point erm + the way it’s designed at the moment the roof edge is 
325,,,actually on this line here + so that’s the bit that covers you OK so that is a 
326,,,length of about nine nine metres or so OK + from this point you go 
327,0:24:00,,through a lobby into the chapel and the chapel layout is quite similar to 
328,,,the existing chapel where it gets different is that we have what I call a 
329,,,sanctuary to one side or an ante chapel for the very small funerals and we 
330,,,have a much more dominant catafalque design at the end
331,,Angela,thank you yes
332,,Adrian,erm last time we spoke Angela you thought that that the original 
333,,,catafalque design just wasn’t bold enough
334,,Angela,here wasn’t enough
335,,Adrian,yes
336,,Angela,yes
337,,Adrian,it just you know I felt that architecturally it needed to be a great deal 
338,,,more bold to make a statement about it being a very important
339,,Angela,that’s in a sense what they are all there for is what’s on that compared 
340,,,to to look at it and to focus their feelings on that area really that’s what 
341,,,they’re there for whether they want to or not ha ha ha 
342,,Adrian,so my next two questions are are the sanctuary and the catafalque big 
343,,,enough erm coming to the catafalque first last time I spoke to you with 
344,0:25:00,,mister (  ) he was saying that erm there might be the possibility of a 
345,,,double funeral in which case would this be wide enough for two
346,,,coffins ++
347,,Angela,it wouldn’t probably I don’t know 
348,,Adrian,it’s just over three metres diameter it’s about three point one metres 
349,,,diameter
350,,Chris,how wide is the existing er trolley
351,,Angela,I don’t know I think I would say it might just I mean at the moment they 
352,,,can just they can just go in side by side but it’s difficult to squeeze in to 
353,,,put the coffins on at the moment even because you’ve also you’ve got the 
354,,,two catafalques in side by side and you need to have four routes for 
355,,,people to go either you need the one in the middle for both people to go 
356,,,and the ones at the end for them to drop the coffins off erm but even two 
357,,,catafalques isn’t always enough we’ve had three or we’ve had car 
358,,,accidents you know we’ve had three coffins and we’ve not been able to 
359,,,accommodate all the you know I mean if we can do two that’s the 
360,0:26:00,,majority of them put them side beside or in the sense perhaps have the 
361,,,catafalque so it can expand to accommodate two I don’t know one 
362,,,catafalque that spreads out like a sort of a table or something I don’t 
363,,,know
364,,Adrian,OK I thought the catafalque was the name of the space it’s obviously 
365,,,the actual thing that you put the coffins on
366,,Angela,the actual thing yes some people call it like an altar the catafalque is 
367,,,the actual place erm where you place the coffin
368,,Adrian,OK so my question for you is how wide would it need to be for two 
369,,,coffins or if we’re going for two it would need to be
370,,Angela,we’ll have a measure up on that
371,,Chris,[points] there’s also the entrance as well isn’t there and how it fits in and 
372,,,how it’s visible
373,,Angela,how it would be visible for people on the corners
374,,Chris,in there maybe that side of the design would need to be cut back a bit 
375,,,but still maintain-
376,,Adrian,well [begins to sketch] there’s a couple of things I can do I can make the 
377,,,whole thing bigger for a start to help you make this work I can also splay 
378,0:27:00,,the opening a little bit wider as well so you’ve got an even better view in 
379,,,if that helps and that would certainly enable you to get a wider catafalque 
380,,,inside there that might be suitable for two people the architectural 
381,,,idea here is to have like a cylinder which will be top lit at the top 
382,,,perhaps a glass pyramid something like that so you can get top light 
383,,,pouring down into it there might be some very nice artificial lighting 
384,,,inside as well to (  ) that so that erm [phone rings] oh I’m 
385,,,terribly sorry rule number one  turn your mobile phone off when you 
386,,,have an important meeting
387,,Angela,might be Ben ++++
388,,Adrian,[operates mobile phone] it is Ben +++++ just turn it off so it doesn’t 
389,,,happen again so if you’d like me to increase the size of that space I 
390,,,certainly can do
391,0:28:00,Angela,how many people would you get on the seats roughly how many
392,,Chris,are we going to have fixed seating
393,,Angela,I don’t know that’s the next sort of thought I was-
394,,Adrian,its one of your questions isn’t it
395,,Angela,yes
396,,Adrian,[begins to write] seating
397,,Angela,I’m just trying to think if people are at the end of those seating they 
398,,,also need to be able to see the coffin because they tend to sort of not 
399,,,really work out you know the importance of which mourner sits where 
400,,,really they tend to just scrabble on to the seats as best they can there’s no 
401,,,set defining you know the main mourner sits on one end they tend to 
402,,,shuffle all up on one seat at the front erm and so as long as they can see 
403,,,coffin from where they’re sitting it’s obviously that’s the most 
404,,,important thing just briefly to mention with this that was received 
405,,,quite with the people that I’d spoken to as a very nice area they felt 
406,,,that was very good they only thing they had was would there be a door 
407,,,on that so that there would I mean how open would it be in the sense 
408,,,that if the service was going on in a normal chapel obviously is that sort of 
409,0:29:00,,something that people could see into or would it be a closed off area 
410,,,that can be-
411,,Adrian,I didn’t see it as being a doored off space I mean rather like an 
412,,,antechapel in a cathedral or whatever I just saw it as a space that you 
413,,,could walk in to 
414,,Angela,yes that’s fine
415,,Adrian,er is that how you saw
416,,Angela,yes yes that was kind of positive they felt that was quite a nice idea to do 
417,,,that especially for the childrens’ funeral we have the hospital chaplain 
418,,,that does all the babies funerals from the hospital and you know you 
419,,,only get mum and dad on that if at the most and it would be nice to be 
420,,,able to do that whether that would be for a full adult coffin I don’t 
421,,,know whether that was the design of it no 
422,,Adrian,don’t think don’t think that wouldn’t work it’s actually quite a small 
423,,,space and again I’m wondering if it needs to be increased in size we 
424,,,certainly can increase it in size at the moment it has a diameter of about 
425,,,three point one metres so there’s a floor area of really seven square metres 
426,,,so by the time you’ve got three people in there and a small coffin perhaps 
427,0:30:00,,for a child or something that’s filled the space up
428,,Angela,yes but it’s still (  ) at that it was thought of as being very nice 
429,,,you know a nice area even hmmm
430,,Adrian,so what would your view would be on that do you think we should 
431,,,increase it in size
432,,Angela,I would be concerned that if we make it too big it loses it’s sort of
433,,Adrian,intimacy
434,,Angela,yes yes you know I’m not sure I quite like it being a small space in a 
435,,,sense so I mean see whether that maybe just a little bit bigger but I’m 
436,,,quite happy with that as it is really I quite like the idea of a smaller 
437,,,place so the intimacy on that
438,,Adrian,well it would give me reassurance if maybe you could chalk out a three 
439,,,point one diameter circle on the ground somewhere 
440,,Angela,yes so we can see-
441,,Adrian,and and + perhaps we’ll all have a look at it and 
442,,Angela,see how big that is
443,,Adrian,see what you think
444,,Angela,as I say a little bit bigger maybe but-
445,,Chris,how many people come to those sort of services
446,,Angela,what to the babies ones mum and dad and the hospital chaplain and 
447,,,the chapel attendant
448,,Chris,no grandparents or-
449,,Angela,very rarely very rarely not very often sometimes you get lots but then 
450,0:31:00,,you’d use the main chapel for that and again the suit to the catafalque 
451,,,in that area then needs to be adaptable so that it doesn’t get lost on 
452,,,there we know and some adaption needs to be made so that cushions 
453,,,or something’s made so it’s not seen as little tiny coffin on the big 
454,,,chapel you know you get occasionally you get lots of people for them
455,,Chris,yes so we need to check that dimension works don’t we
456,,Angela,yes yes at the moment what happens with the ones from the hospital is 
457,,,that they go on to the main catafalque on to a cushion and then the mum 
458,,,and dad and the hospital chaplain will go round into the curtained off 
459,,,area stand around there with chairs and candles and sit there so the the
460,,,dimensions of the area that we’ve got in our existing chapel at the 
461,,,moment is more than enough for what they do then so probably 
462,,,although it’s oblong this is obviously about the same sort of size I 
463,,,would think yes we need to have a think about that
464,,Chris,yes this connection point for us to do is check that size
465,,Adrian,ok
466,0:32:00,Angela,I can’t work in metres
467,,Adrian,alright we’ll try and convert it to-
468,,Angela,no no no I must do I must do I’m not you know three metres I have to 
469,,,think about it
470,,Adrian,nine feet
471,,Angela,that’s alright then that’s OK [writes]
472,,Adrian,OK + did you see this as a space that might have it’s own small lectern in 
473,,,it or some altar like feature inside it
474,,Angela,it would be nice to have something like that yes I think we talked 
475,,,About erm perhaps doing something with it in a sense of erm coloured 
476,,,glass or something coming through didn’t we
477,,Adrian,definitely I’ve showed
478,,Angela,I’m thinking of coventry cathedral with the 
479,,Adrian,oh yeah I know what you mean I’ve shown a very tall narrow slitty 
480,,,window which faces directly south if my orientation is correct or is it 
481,,,west
482,,Angela,little bit that’s north [gestures] that would be north up this way +
483,,Adrian,it faces directly
484,,Angela,south-west +
485,0:33:00,Adrian,it faces directly west to get the setting sun in it that was the original 
486,,,idea I wanted to give you a small view of the pond as you came in and 
487,,,you get a small view through it of the pond but if it’s stained glass it’ll 
488,,,be a much more intimate space again top lit so you get sun and feeling 
489,,,of any cloud movement overhead but essentially it’s a very private 
490,,,sanctuary that’s why it’ll be the sanctuary on the plan
491,,Angela,yes I’m very pleased with that yes
492,,Adrian,if you want to we could puncture the wall with some more ++ holes if 
493,,,you like what I’m thinking of is like le corbusier’s chapel at 
494,,,ronchamp I’m not sure if you’re familiar with that this chapel has some 
495,,,[begins to sketch] holes that might have a tiny bit of stained glass in them 
496,,,but might in three dimensions look something like that so that if that’s the 
497,0:34:00,,outside and this is the inside you got small amount of covered light 
498,,,reflecting itself off the walls
499,,Angela,what into a deep a deep wall
500,,Adrian,a deep wall it’s a very deep wall walls at least three hundred millimetres
501,,,thick there and it would be there would be the opportunity to have the 
502,,,odd small piece of glass that might let a little splash of colour in-
503,,Angela,yes that would also be nice because if the water there’s a sense also that 
504,,,would also make the light move in a way through the glass if it was 
505,,,coloured you know you’d get the water as it moves or reflects as well 
506,,,then that changes the +
507,,Adrian,yeah I know what you mean particularly if some of these were 
508,,,relatively low you might get a reflection from any movement in /the 
509,,,water\
510,,Angela,/the water\
511,,Adrian,I saw the pond initially as being quite still but there’s no reason why it 
512,,,couldn’t have a fountain in it or something to give it
513,,Angela,yes but even if it was still I would think it would be something 
514,,,reflective wouldn’t it even through the light from the you know yes 
515,,,I’m quite keen on sort of developing that that erm that’s one of our 
516,,,unique sort of things not many I don’t know of any other crematorium 
517,,,chapel that’s got something as unique as that so you know I’m very keen 
518,,,to sort of keep that in there and use that 
519,,Adrian,good so in principle you really like the idea of its spirituality being 
520,,,amplified to make it very calm 
521,,Angela,yes
522,,Adrian,and spiritual
523,,Angela,yes
524,,Adrian,relaxing
525,,Angela,yes
526,,Adrian,meditative sort of space
527,,Angela,yes not even necessarily particularly for funerals but for sort of 
528,,,memorial services or something that people could come to later or some 
529,,,area to come and visit to spend some time people sometimes like 
530,,,coming back in the chapel and you know when we’ve got no services 
531,,,on for sort of private reflection or something so there’s nothing saying 
532,,,that they couldn’t do that but that would allow them to have an area as 
533,,,well that they could also just sit in quietly and sort of that would be 
534,,,quite nice 
535,,Adrian,and should it therefore include perhaps some built in seating a built in 
536,,,bench for a couple of people or /something like that\
537,,Angela,/something like that\ yes something whereas you know the seating that we 
538,0:36:00,,might go for whatever something around the edge so there’s definitely 
539,,,one at the city centre church that I remember I remember that there’s an 
540,,,area there that you can it’s a circular area you can pull the door round and 
541,,,close it but whether it’s still there or not I don’t know you can cut it 
542,,,off the door 
543,,Chris,I sort of vaguely recall it
544,,Angela,yeah I can’t remember a hundred percent its been quite a while since 
545,,,I’ve been there I have enough religion during the day ha ha ha I’m 
546,,,religioned out by the end of the day
547,,Adrian,yeah +
548,,Angela,OK
549,,Adrian,OK well that’s helpful we’ve dealt with the sanctuary now we’ve dealt 
550,,,with this area you know all about the audio visual room which hasn’t 
551,,,changed since the previous submission
552,,Angela,OK
553,,Chris,we’ve got an issue (  ) considering following a training session 
554,,,that the staff went on this week at erm stevenage crematorium to look 
555,0:37:00,,at use of the audio the new audio digital audio system that had been 
556,,,installed and a particular issue is the accommodation and [begins to 
557,,,gesture] having accommodation where they can work almost like a theatre 
558,,,technician so that they can be part of the service yet be divorced from the 
559,,,service so that they can operate PCs and things erm but also be in sight of 
560,,,what’s going on so being more involved so we’re currently looking at 
561,,,bringing stuff out the back of the existing chapel so that they can sit at a 
562,,,desk away but part of 
563,,Adrian,well well that’s the desk [begins to point] that I thought they could work 
564,,,at I saw this as being combined organ and AV control so someone might 
565,,,sit here and play the organ and there might be AV controls here but 
566,,,essentially all the spaghetti and all the amplifiers and CD players cassette 
567,0:38:00,,players you name it computers and so on and so forth could be in here
568,,Chris,hmm
569,,Adrian,but there’s no reason why there couldn’t be a small laptop or whatever 
570,,,attached to that system
571,,Chris,yeah I’m with you ++ yes I mean yes I mean you saw how the system (  )
572,,Angela,yes I would have to say [begins to write] that what I would ask if possible 
573,,,is that we swap these two bits around in a sense that we have sort of the 
574,,,the room here so that we can see across here cause at the moment if we 
575,,,were working the laptop what we what we felt here the staff feel is that 
576,,,people come to a funeral and they don’t particularly want to see someone 
577,,,sitting at a laptop doing tippy tap tippy tap like that and they felt that that 
578,,,was perhaps erm the concern we had so the idea is of in a sense is hiding 
579,,,that although it’s obviously a modern an idea 
580,,Adrian,you could hide them in there [points] (  ) visual link
581,,Angela,the problem with that would be yes they wouldn’t be able to see into 
582,,,the chapel that was the only thing there
583,0:39:00,Adrian,that’s a difficult one because if they can see out then people would be 
584,,,able to see in
